"keys","en","cn"
"Y18E","Thornspray","荆棘喷射"
"INEU","This tower releases thorns from its back, dealing [color=d2b48cff]Physical[/color] damage to every unit in range.
","该防御塔向周围发射尖刺，对范围内所有单位造成[color=d2b48c]物理[/color]类型的攻击伤害。"
"PI5G","This tower deals 30% of its attack damage as [color=d2b48cff]Physical[/color] damage to every unit in 800 range around it. A creep hit by [color=GOLD]Thornspray[/color] receives 11% more damage than it did from the previous [color=GOLD]Thornspray[/color], if hit again within 1.5 seconds. This effect stacks up to 40 times.
 
[color=GOLD]Hint:[/color] Save mana to amplify the effect of this ability.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% base damage
7% chance to doublecast [color=GOLD]Thornsprays[/color] at level 15
5% chance to triplecast [color=GOLD]Thornsprays[/color] at level 25
","该防御塔对800范围内所有单位造成自身攻击力30%的[color=d2b48c]物理[/color]类型的攻击伤害。被[color=GOLD]荆棘喷射[/color]命中的敌方单位若在1.5秒内再次被命中，承受的伤害将比前次提升11%，此效果最多叠加40层。

[color=GOLD]提示：[/color]节省法力值可强化此技能效果。

[color=ORANGE]等级加成：[/color]
+0.2% 基础攻击力
15级时7%几率双重施放[color=GOLD]荆棘喷射[/color]
25级时5%几率三重施放[color=GOLD]荆棘喷射[/color]"
"Z4G3","Thornspray","荆棘喷射"
"UMRO","This tower releases thorns from its back, dealing [color=d2b48cff]Physical[/color] damage to every unit in range.
","该防御塔向周围发射尖刺，对范围内所有单位造成[color=d2b48c]物理[/color]类型的攻击伤害。"
"1JIB","This tower deals 30% of its attack damage as [color=d2b48cff]Physical[/color] damage to every unit in 800 range around it. A creep hit by [color=GOLD]Thornspray[/color] receives 11% more damage than it did from the previous [color=GOLD]Thornspray[/color], if hit again within 1.5 seconds. This effect stacks up to 40 times.
 
[color=GOLD]Hint:[/color] Save mana to amplify the effect of this ability.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% base damage
9% chance to doublecast [color=GOLD]Thornsprays[/color] at level 15
7% chance to triplecast [color=GOLD]Thornsprays[/color] at level 25
","该防御塔对800范围内所有单位造成自身攻击力30%的[color=d2b48c]物理[/color]类型的攻击伤害。被[color=GOLD]荆棘喷射[/color]命中的敌方单位若在1.5秒内再次被命中，承受的伤害将比前次提升11%，此效果最多叠加40层。

[color=GOLD]提示：[/color]节省法力值可强化此技能效果。

[color=ORANGE]等级加成：[/color]
+0.2% 基础攻击力
15级时9%几率双重施放[color=GOLD]荆棘喷射[/color]
25级时7%几率三重施放[color=GOLD]荆棘喷射[/color]"
"UMX9","Charge","充能"
"XD3V","Applies a buff to target tower which increases attack speed.
","为目标防御塔施加提升攻击速度的增益状态。"
"I8LU","Applies a buff to target tower which lasts 10 seconds, it increases the attack speed of the tower by 25%. Every second this buff will grant an additional 5% bonus attack speed.
 
[color=ORANGE]Level Bonus:[/color]
+0.6% base attack speed
+0.1% bonus attack speed
","为目标防御塔施加持续10秒的增益状态，初始提升25%攻击速度，此后每秒额外提升5%攻击速度。

[color=ORANGE]等级加成：[/color]
+0.6% 基础攻击速度
+0.1% 额外攻击速度"
"BTVM","Demonic Fire","魔焰诅咒"
"2YXA","Places a debuff on a creep. When a tower damages the creep, there is a chance to permanently increase the damage it takes from [color=ff4500ff]Fire[/color] towers.
","对敌方单位施加负面状态，受到攻击时有几率永久提升其承受[color=ff4500]火焰[/color]防御塔的伤害。"
"WRHQ","Places a debuff on a creep for 7 seconds. When a tower damages the creep, there is a 20% chance to permanently increase the damage it takes from [color=ff4500ff]Fire[/color] towers by 3% (1% for bosses).
 
[color=ORANGE]Level Bonus:[/color]
+0.08% damage (on non boss)
+0.04% damage (on bosses)
","对敌方单位施加持续7秒的负面状态。当其受到攻击时，有20%几率永久提升其承受[color=ff4500]火焰[/color]防御塔的伤害3%（对首领为1%）。

[color=ORANGE]等级加成：[/color]
+0.08% 伤害增幅（非首领）
+0.04% 伤害增幅（首领）"
"VNJP","Wind Shear","风切变"
"J4AK","Increases the attack speed of a tower and gives it a chance to cast [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals spell damage.
","提升防御塔攻击速度，并使其攻击时有几率施放[color=GOLD]连锁闪电[/color]。"
"KJFA","Increases the attack speed of a tower in 300 range by 10% and gives it a 25% attack speed adjusted chance to cast a [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals 100 initial spell damage and hits up to 3 targets dealing 25% less damage each bounce. Effect lasts for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1% attack speed
+4 spell damage
+1 target at level 20
+0.1 sec duration
","提升300范围内防御塔10%攻击速度，并赋予25%攻速加权后的几率在攻击时施放[color=GOLD]连锁闪电[/color]。[color=GOLD]连锁闪电[/color]造成100点初始法术伤害，最多弹射3个目标，每次弹射伤害衰减25%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1% 攻击速度
+4 法术伤害
20级时+1弹射目标
+0.1秒 持续时间"
"SX4X","Wind Shear","风切变"
"JPAR","Increases the attack speed of a tower and gives it a chance to cast [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals spell damage.
","提升防御塔攻击速度，并使其攻击时有几率施放[color=GOLD]连锁闪电[/color]。"
"OL6T","Increases the attack speed of a tower in 300 range by 15% and gives it a 25% attack speed adjusted chance to cast a [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals 300 initial spell damage and hits up to 3 targets dealing 25% less damage each bounce. Effect lasts for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1% attack speed
+12 spell damage
+1 target at level 20
+0.1 sec duration
","提升300范围内防御塔15%攻击速度，并赋予25%攻速加权后的几率在攻击时施放[color=GOLD]连锁闪电[/color]。[color=GOLD]连锁闪电[/color]造成100点初始法术伤害，最多弹射3个目标，每次弹射伤害衰减25%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1% 攻击速度
+12 法术伤害
20级时+1弹射目标
+0.1秒 持续时间"
"BFTQ","Wind Shear","风切变"
"VVX2","Increases the attack speed of a tower and gives it a chance to cast [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals spell damage.
","提升防御塔攻击速度，并使其攻击时有几率施放[color=GOLD]连锁闪电[/color]。"
"A95P","Increases the attack speed of a tower in 300 range by 20% and gives it a 25% attack speed adjusted chance to cast a [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals 600 initial spell damage and hits up to 3 targets dealing 25% less damage each bounce. Effect lasts for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1% attack speed
+24 spell damage
+1 target at level 20
+0.1 sec duration
","提升300范围内防御塔20%攻击速度，并赋予25%攻速加权后的几率在攻击时施放[color=GOLD]连锁闪电[/color]。[color=GOLD]连锁闪电[/color]造成100点初始法术伤害，最多弹射3个目标，每次弹射伤害衰减25%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1% 攻击速度
+24 法术伤害
20级时+1弹射目标
+0.1秒 持续时间"
"595P","Wind Shear","风切变"
"HKYY","Increases the attack speed of a tower and gives it a chance to cast [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals spell damage.
","提升防御塔攻击速度，并使其攻击时有几率施放[color=GOLD]连锁闪电[/color]。"
"COP1","Increases the attack speed of a tower in 300 range by 25% and gives it a 25% attack speed adjusted chance to cast a [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals 1000 initial spell damage and hits up to 3 targets dealing 25% less damage each bounce. Effect lasts for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1% attack speed
+40 spell damage
+1 target at level 20
+0.1 sec duration
","提升300范围内防御塔25%攻击速度，并赋予25%攻速加权后的几率在攻击时施放[color=GOLD]连锁闪电[/color]。[color=GOLD]连锁闪电[/color]造成100点初始法术伤害，最多弹射3个目标，每次弹射伤害衰减25%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1% 攻击速度
+40 法术伤害
20级时+1弹射目标
+0.1秒 持续时间"
"XCD4","Wind Shear","风切变"
"DOPY","Increases the attack speed of a tower and gives it a chance to cast [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals spell damage.
","提升防御塔攻击速度，并使其攻击时有几率施放[color=GOLD]连锁闪电[/color]。"
"ACC8","Increases the attack speed of a tower in 300 range by 30% and gives it a 25% attack speed adjusted chance to cast a [color=GOLD]Chain Lightning[/color] on attack. [color=GOLD]Chain Lightning[/color] deals 1800 initial spell damage and hits up to 3 targets dealing 25% less damage each bounce. Effect lasts for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1% attack speed
+72 spell damage
+1 target at level 20
+0.1 sec duration
","提升300范围内防御塔30%攻击速度，并赋予25%攻速加权后的几率在攻击时施放[color=GOLD]连锁闪电[/color]。[color=GOLD]连锁闪电[/color]造成100点初始法术伤害，最多弹射3个目标，每次弹射伤害衰减25%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1% 攻击速度
+72 法术伤害
20级时+1弹射目标
+0.1秒 持续时间"
"Q588","Snake Charm","蛇灵祝福"
"56GP","This unit will increase nearby towers' mana, mana regeneration and spell damage.
","提升附近防御塔的法力值、法力回复和法术伤害。"
"80TB","Increases the target's maximum mana by 10%, its mana regeneration by 10% and its spell damage by 5%. The buff lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.6% mana 
+0.6% mana regeneration
+0.3% spell damage
+5 seconds duration at level 25
","使目标最大法力值提升10%，法力回复提升10%，法术伤害提升5%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+0.6% 法力值
+0.6% 法力回复
+0.3% 法术伤害
25级时+5秒 持续时间"
"2JHT","Snake Charm","蛇灵祝福"
"O6BY","This unit will increase nearby towers' mana, mana regeneration and spell damage.
","提升附近防御塔的法力值、法力回复和法术伤害。"
"UUPR","Increases the target's maximum mana by 20%, its mana regeneration by 20% and its spell damage by 10%. The buff lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1.2% mana 
+1.2% mana regeneration
+0.6% spell damage
+5 seconds duration at level 25
","使目标最大法力值提升20%，法力回复提升20%，法术伤害提升10%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1.2% 法力值
+1.2% 法力回复
+0.6% 法术伤害
25级时+5秒 持续时间"
"JGOE","Snake Charm","蛇灵祝福"
"M34M","This unit will increase nearby towers' mana, mana regeneration and spell damage.
","提升附近防御塔的法力值、法力回复和法术伤害。"
"YTE8","Increases the target's maximum mana by 30%, its mana regeneration by 30% and its spell damage by 15%. The buff lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+1.8% mana 
+1.8% mana regeneration
+0.9% spell damage
+5 seconds duration at level 25
","使目标最大法力值提升30%，法力回复提升30%，法术伤害提升15%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+1.8% 法力值
+1.8% 法力回复
+0.9% 法术伤害
25级时+5秒 持续时间"
"F2SK","Snake Charm","蛇灵祝福"
"CWBS","This unit will increase nearby towers' mana, mana regeneration and spell damage.
","提升附近防御塔的法力值、法力回复和法术伤害。"
"MY87","Increases the target's maximum mana by 40%, its mana regeneration by 40% and its spell damage by 20%. The buff lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+2.4% mana 
+2.4% mana regeneration
+1.2% spell damage
+5 seconds duration at level 25
","使目标最大法力值提升40%，法力回复提升40%，法术伤害提升20%。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+2.4% 法力值
+2.4% 法力回复
+1.2% 法术伤害
25级时+5秒 持续时间"
"0216","Ice Claw","冰霜之爪"
"RZF0","Causes the target creep to be slowed and suffer spell damage over time.
","使目标敌方单位减速并持续受到法术伤害。"
"5DW3","Ravages a target creep in 850 range, causing it to be slowed by 20% and suffer 50 spell damage per second. Effect lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+2 spell damage per second
+0.2 second duration
","撕裂850范围内的目标敌方单位，使其减速20%并每秒承受50点法术伤害。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+2 法术伤害/秒
+0.2秒 持续时间"
"XEM8","Ice Claw","冰霜之爪"
"RM9G","Causes the target creep to be slowed and suffer spell damage over time.
","使目标敌方单位减速并持续受到法术伤害。"
"A0F6","Ravages a target creep in 850 range, causing it to be slowed by 25% and suffer 100 spell damage per second. Effect lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+4 spell damage per second
+0.2 second duration
","撕裂850范围内的目标敌方单位，使其减速25%并每秒承受100点法术伤害。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+4 法术伤害/秒
+0.2秒 持续时间"
"WK0B","Ice Claw","冰霜之爪"
"8XPV","Causes the target creep to be slowed and suffer spell damage over time.
","使目标敌方单位减速并持续受到法术伤害。"
"K4V0","Ravages a target creep in 850 range, causing it to be slowed by 30% and suffer 200 spell damage per second. Effect lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+8 spell damage per second
+0.2 second duration
","撕裂850范围内的目标敌方单位，使其减速30%并每秒承受200点法术伤害。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+8 法术伤害/秒
+0.2秒 持续时间"
"YX7X","Ice Claw","冰霜之爪"
"RZKU","Causes the target creep to be slowed and suffer spell damage over time.
","使目标敌方单位减速并持续受到法术伤害。"
"H3MU","Ravages a target creep in 850 range, causing it to be slowed by 35% and suffer 400 spell damage per second. Effect lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+16 spell damage per second
+0.2 second duration
","撕裂850范围内的目标敌方单位，使其减速35%并每秒承受400点法术伤害。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+16 法术伤害/秒
+0.2秒 持续时间"
"0PTV","Ice Claw","冰霜之爪"
"DUL8","Causes the target creep to be slowed and suffer spell damage over time.
","使目标敌方单位减速并持续受到法术伤害。"
"U5GS","Ravages a target creep in 850 range, causing it to be slowed by 40% and suffer 600 spell damage per second. Effect lasts 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+24 spell damage per second
+0.2 second duration
","撕裂850范围内的目标敌方单位，使其减速40%并每秒承受600点法术伤害。效果持续5秒。

[color=ORANGE]等级加成：[/color]
+24 法术伤害/秒
+0.2秒 持续时间"
"V9DL","Jolt","电涌激流"
"EZDZ","Buffs a tower in range increasing its attack speed. The buffed tower deals extra attack damage and spell damage.
","强化范围内一座防御塔的攻击速度，使其攻击附加额外攻击伤害和法术伤害。"
"6YWK","Buffs a tower in 500 range for 10 seconds increasing its attack speed by 20%. The buffed tower deals 150 attack damage and 150 spell damage on attack multiplied with its base attack speed.
 
[color=ORANGE]Level Bonus:[/color]
+6 attack and spell damage
+0.2% attack speed
","强化500范围内一座防御塔10秒，提升20%攻击速度。受强化防御塔每次攻击将额外造成150点攻击伤害和150点法术伤害，该伤害值将以防御塔的基础攻击速度加权计算。

[color=ORANGE]等级加成：[/color]
+6 攻击和法术伤害
+0.2% 攻击速度"
"KZ25","Jolt","电涌激流"
"54EK","Buffs a tower in range increasing its attack speed. The buffed tower deals extra attack damage and spell damage.
","强化范围内一座防御塔的攻击速度，使其攻击附加额外攻击伤害和法术伤害。"
"KBL9","Buffs a tower in 500 range for 10 seconds increasing its attack speed by 25%. The buffed tower deals 320 attack damage and 320 spell damage on attack multiplied with its base attack speed.
 
[color=ORANGE]Level Bonus:[/color]
+12.8 attack and spell damage
+0.4% attack speed
","强化500范围内一座防御塔10秒，提升25%攻击速度。受强化防御塔每次攻击将额外造成320点攻击伤害和320点法术伤害，该伤害值将以防御塔的基础攻击速度加权计算。

[color=ORANGE]等级加成：[/color]
+12.8 攻击和法术伤害
+0.4% 攻击速度"
"D8JX","Jolt","电涌激流"
"JDGB","Buffs a tower in range increasing its attack speed. The buffed tower deals extra attack damage and spell damage.
","强化范围内一座防御塔的攻击速度，使其攻击附加额外攻击伤害和法术伤害。"
"USHL","Buffs a tower in 500 range for 10 seconds increasing its attack speed by 32%. The buffed tower deals 500 attack damage and 500 spell damage on attack multiplied with its base attack speed.
 
[color=ORANGE]Level Bonus:[/color]
+20 attack and spell damage
+0.52% attack speed
","强化500范围内一座防御塔10秒，提升32%攻击速度。受强化防御塔每次攻击将额外造成500点攻击伤害和500点法术伤害，该伤害值将以防御塔的基础攻击速度加权计算。

[color=ORANGE]等级加成：[/color]
+20 攻击和法术伤害
+0.52% 攻击速度"
"9M4F","Maledict","巫毒诅咒"
"BPVM","Witch Doctor jinxes all units in range with [color=GOLD]Maledict[/color] which deals spell damage to the target.
","对范围内所有单位施加[color=GOLD]巫毒诅咒[/color]，根据受诅咒期间受到的总伤害结算法术伤害"
"3K53","Witch Doctor jinxes all units in 800 range with [color=GOLD]Maledict[/color] which will deal spell damage to the target after 8 seconds. The damage is equal to 15% of the total damage received by the target while [color=GOLD]Maledict[/color] was active. [color=GOLD]Maledict[/color] stacks, with each stack adding 3.5% additional damage. If [color=GOLD]Maledict[/color] is purged it deals double damage. This ability is unaffected by Buff Duration.
 
[color=ORANGE]Level Bonus:[/color]
+0.14% damage per stack
","巫医对800范围内所有单位施加[color=GOLD]巫毒诅咒[/color]，8秒后根据目标在诅咒期间承受的总伤害的15%造成法术伤害。每层诅咒叠加将提升3.5%最终伤害。若诅咒被驱散则造成双倍伤害。此效果不受增益状态持续时间影响。

[color=ORANGE]等级加成：[/color]
+0.14% 每层伤害增幅"
"JIBC","Energy Absorb","能量汲取"
"6OWA","Decreases attack speed of all towers in range. Increases mana regeneration of the Accelerator.
","降低范围内所有防御塔的攻击速度，提升加速器的法力回复。"
"T5UM","Decreases the attack speed of all towers in 1000 range by 10%. Increases the mana regeneration of the Accelerator by 2 mana per second for each weakened tower. Both effects last 8 seconds
 
[color=ORANGE]Level Bonus:[/color]
-0.1% attack speed weakening
+0.04 mana per second
","使1000范围内所有防御塔攻击速度降低10%。每有一个受影响的防御塔，加速器的法力回复提升2点/秒。效果持续8秒。

[color=ORANGE]等级加成：[/color]
-0.1% 攻击速度削弱
+0.04 法力/秒"
"Y50I","Energy Absorb","能量汲取"
"F8VU","Decreases attack speed of all towers in range. Increases mana regeneration of the Accelerator.
","降低范围内所有防御塔的攻击速度，提升加速器的法力回复。"
"MNGS","Decreases the attack speed of all towers in 1000 range by 10%. Increases the mana regeneration of the Accelerator by 2 mana per second for each weakened tower. Both effects last 8 seconds
 
[color=ORANGE]Level Bonus:[/color]
-0.1% attack speed weakening
+0.04 mana per second
","使1000范围内所有防御塔攻击速度降低10%。每有一个受影响的防御塔，加速器的法力回复提升2点/秒。效果持续8秒。

[color=ORANGE]等级加成：[/color]
-0.1% 攻击速度削弱
+0.04 法力/秒"
"YZLA","Freezing Gust","寒霜风暴"
"CKYQ","Casts a buff on a tower in range, doubling the effect of [color=GOLD]Gust Aura[/color].","对范围内防御塔施加增益，使[color=GOLD]风暴加持[/color]效果翻倍。"
"6Y0N","Casts a buff on a tower in 800 range, doubling the effect of [color=GOLD]Gust Aura[/color] and increasing that tower's damage against air units by 10% for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.05 seconds duration
+0.8% damage against air
","对800范围内防御塔施加增益，使[color=GOLD]风暴加持[/color]效果翻倍，并在5秒内提升该防御塔对空伤害10%。

[color=ORANGE]等级加成：[/color]
+0.05秒 持续时间
+0.8% 对空伤害"
"T2DL","Siphon Essence","精髓虹吸"
"LV6Y","Stuns nearby towers and steals their damage.
","眩晕附近防御塔并窃取其伤害。"
"E77O","Casts a buff on a nearby tower, if that tower tries to attack in the next 5 seconds it will be stunned for 2.5 seconds and this tower will deal [color=GOLD][stunned tower's DPS x 3][/color] as [color=7fffd4ff]Essence[/color] damage to the target of the buffed tower.
 
[color=ORANGE]Level Bonus:[/color]
-0.02 seconds stun duration
","对附近防御塔施加增益效果，若其在接下来5秒内尝试攻击，将被眩晕2.5秒。本防御塔将对该增益目标的攻击对象造成[color=GOLD][被眩晕防御塔秒伤 x 3][/color]点[color=7fffd4]精髓[/color]类型的伤害。

[color=ORANGE]等级加成：[/color]
-0.02秒 眩晕时长"
"E4JX","Siphon Essence","精髓虹吸"
"G0VS","Stuns nearby towers and steals their damage.
","眩晕附近防御塔并窃取其伤害。"
"GD3S","Casts a buff on a nearby tower, if that tower tries to attack in the next 5 seconds it will be stunned for 2.5 seconds and this tower will deal [color=GOLD][stunned tower's DPS x 3][/color] as [color=7fffd4ff]Essence[/color] damage to the target of the buffed tower.
 
[color=ORANGE]Level Bonus:[/color]
-0.02 seconds stun duration
","对附近防御塔施加增益效果，若其在接下来5秒内尝试攻击，将被眩晕2.5秒。本防御塔将对该增益目标的攻击对象造成[color=GOLD][被眩晕防御塔秒伤 x 3][/color]点[color=7fffd4]精髓[/color]类型的伤害。

[color=ORANGE]等级加成：[/color]
-0.02秒 眩晕时长"
"QOXP","Sparks","星火迸发"
"FLCO","Increases spell damage and spell crit chance of a nearby tower.
","提升附近防御塔的法术伤害和法术暴击几率。"
"WVGP","Increases the spell damage for a tower in 500 range by 15% and it's spell critical strike chance by 10%. Lasts 7.5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% spell damage
+0.1% spell critical strike chance
+0.3 seconds duration
","使500范围内防御塔法术伤害提升15%，法术暴击几率提升10%。效果持续7.5秒。

[color=ORANGE]等级加成：[/color]
+0.2% 法术伤害
+0.1% 法术暴击几率
+0.3秒 持续时间"
"2PC4","Sparks","星火迸发"
"42QP","Increases spell damage and spell crit chance of a nearby tower.
","提升附近防御塔的法术伤害和法术暴击几率。"
"QWZT","Increases the spell damage for a tower in 500 range by 20% and it's spell critical strike chance by 12.5%. Lasts 7.5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% spell damage
+0.2% spell critical strike chance
+0.3 seconds duration
","使500范围内防御塔法术伤害提升20%，法术暴击几率提升12.5%。效果持续7.5秒。

[color=ORANGE]等级加成：[/color]
+0.4% 法术伤害
+0.2% 法术暴击几率
+0.3秒 持续时间"
"3D28","Eruption","凤凰爆发"
"NSUC","Explodes all creeps affected by [color=GOLD]Phoenixfire[/color].
","引爆所有受[color=GOLD]凤凰之火[/color]影响的敌方单位。"
"FJ2Y","Explodes all creeps affected by [color=GOLD]Phoenixfire[/color], triggering the [color=GOLD]Phoenix Explosion[/color] ability. [color=GOLD]Phoenixfire[/color] debuff expires after explosion.
","引爆所有受[color=GOLD]凤凰之火[/color]影响的敌方单位，触发[color=GOLD]凤凰爆燃[/color]效果，引爆后[color=GOLD]凤凰之火[/color]负面状态消失。"
"86LV","Eruption","凤凰爆发"
"UKQY","Explodes all creeps affected by [color=GOLD]Phoenixfire[/color].
","引爆所有受[color=GOLD]凤凰之火[/color]影响的敌方单位。"
"048F","Explodes all creeps affected by [color=GOLD]Phoenixfire[/color], triggering the [color=GOLD]Phoenix Explosion[/color] ability. [color=GOLD]Phoenixfire[/color] debuff expires after explosion.
","引爆所有受[color=GOLD]凤凰之火[/color]影响的敌方单位，触发[color=GOLD]凤凰爆燃[/color]效果，引爆后[color=GOLD]凤凰之火[/color]负面状态消失。"
"X6AM","Eruption","凤凰爆发"
"VOAV","Explodes all creeps affected by [color=GOLD]Phoenixfire[/color].
","引爆所有受[color=GOLD]凤凰之火[/color]影响的敌方单位。"
"D2BZ","Explodes all creeps affected by [color=GOLD]Phoenixfire[/color], triggering the [color=GOLD]Phoenix Explosion[/color] ability. [color=GOLD]Phoenixfire[/color] debuff expires after explosion.
","引爆所有受[color=GOLD]凤凰之火[/color]影响的敌方单位，触发[color=GOLD]凤凰爆燃[/color]效果，引爆后[color=GOLD]凤凰之火[/color]负面状态消失。"
"GQKH","Hammer Fall","战锤天降"
"QBXH","Summons a hammer which falls from the sky and deals AoE spell damage.
","召唤从天而降的战锤，造成范围法术伤害。"
"SKPE","Summons a hammer which falls from the sky. The hammer deals 10000 spell damage to all units in 600 AoE and stuns them for 1 second. Each of the player's storm tower in 2500 range loses 10% attack damage for 6 seconds but increases the spell damage of the hammer by 5%. Can gain a maximum of 100% bonus damage.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% damage from towers
","召唤一柄从天而降的战锤，对600范围内的所有单位造成10000点法术伤害并眩晕1秒。6秒内2500范围内每座玩家的风暴防御塔将降低10%攻击力，但使战锤的法术伤害提升5%。最多可获得100%伤害加成。

[color=ORANGE]等级加成：[/color]
+0.2% 来自防御塔的伤害"
"VIM7","Choose Modification","法球切换"
"FGPJ","Cycle through modifications.
","切换法球效果"
"K21Y","Cycle through modifications. Selected modification will be used as target for [color=GOLD]Apply Modification[/color] and [color=GOLD]Remove Modification[/color] abilities. Note that you must apply modification after selection to make it active.
 
[color=ROYAL_BLUE]Slow[/color]: 8% for 5 seconds; costs 20% missile dmg
[color=DARK_SEA_GREEN]Silence[/color]: 5 seconds, 50% chance; costs 40% missile dmg
[color=ORANGE_RED]Health Regeneration[/color]: -10% for 5 seconds; costs 25% missile dmg
[color=TAN]Armor[/color]: -6% for 5 seconds; costs 25% missile dmg
[color=MEDIUM_PURPLE]Spell Vulnerability[/color]: 12% for 5 seconds; costs 25% missile dmg
[color=LIME_GREEN]AoE radius[/color]: +50; costs 15% missile dmg
 
You can check current modification status in Tower Details.
","循环切换法球效果。选定效果将作为[color=GOLD]选定法球[/color]和[color=GOLD]移除法球[/color]的操作目标。注意：需在选定后应用法球才能生效。

[color=ROYAL_BLUE]减速[/color]：5秒内减速8%；减少20%飞弹伤害
[color=DARK_SEA_GREEN]沉默[/color]：5秒沉默，50%触发几率；减少40%飞弹伤害
[color=ORANGE_RED]生命恢复[/color]：5秒内降低10%生命恢复；减少25%飞弹伤害
[color=TAN]护甲[/color]：5秒内降低6%护甲；减少25%飞弹伤害
[color=MEDIUM_PURPLE]法术易伤[/color]：5秒内承受12%额外法术伤害；减少25%飞弹伤害
[color=LIME_GREEN]范围半径[/color]：+50；减少15%飞弹伤害

当前法球效果可在防御塔详情中查看。"
"VK3M","Apply Modification","选定法球"
"ZUEN","Applies modification to [color=GOLD]Magic Missile[/color] if the tower has enough damage left.
","为[color=GOLD]魔法飞弹[/color]附加特殊效果（需保留足够伤害量）。"
"BGW5","Applies currently selected modification to [color=GOLD]Magic Missile[/color] if the tower has enough damage left.
 
Multiple different modifications can be applied at the same time.
 
You can check current modification status in Tower Details.
","若此防御塔剩余伤害量充足，将为[color=GOLD]魔法飞弹[/color]附加当前选定的法球效果。

可同时应用多种不同类型的法球效果。

当前法球效果可在防御塔详情中查看。"
"3QU6","Remove Modification","移除法球"
"J473","Removes modification from [color=GOLD]Magic Missile[/color] and refunds the damage used.
","移除[color=GOLD]魔法飞弹[/color]已附加所有效果并返还扣减的伤害量。"
"L5OS","Removes currently selected modification from [color=GOLD]Magic Missile[/color] and refunds the damage used.
 
You can check current modification status in Tower Details.
","移除[color=GOLD]魔法飞弹[/color]当前选定的法球效果，并返还对应消耗的伤害量。

当前法球效果可在防御塔详情中查看。"
"JHXO","Love Potion","爱情药剂"
"7UXR","The Witch throws a love potion on the target, applying a slow and increasing target's item chance.
","女巫对敌方目标投掷爱情药剂，施加减速效果并提升其物品获取率。"
"75Y8","The Witch throws a love potion on the target, slowing it by 25% and increasing its item chance by 20%. The potion lasts 7 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.38% slow
+0.3% item drop chance
","女巫对敌方目标投掷爱情药剂，使其减速25%并提升20%物品获取率。药水效果持续7秒。

[color=ORANGE]等级加成：[/color]
+0.38% 减速效果
+0.3% 物品掉落几率"
"VAKZ","Love Potion","爱情药剂"
"JP2E","The Witch throws a love potion on the target, applying a slow and increasing target's item chance.
","女巫对敌方目标投掷爱情药剂，施加减速效果并提升其物品获取率。"
