"name english","tier","id","family id","author","rarity","element","attack enabled","attack type","attack range","attack cd","dmg min","dmg max","mana","mana regen","cost","missile speed","missile arc","missile uses lightning visual","attack_target_type","multishot","splash attack","bounce attack","specials","ability list","aura list","autocast list","script path","icon path","sprite path","name","description"
"Ruined Sun Pillar",2,404,363,"geX","common","astral","TRUE","energy",1200,2,154,171,0,0,130,1900,0,"FALSE","CREEPS",,,"3,0.48","MOD_DMG_TO_UNDEAD,0.21,0.021",,,,"res://src/towers/tower_behaviors/ruined_sun_pedestal.gd","res://resources/icons/tower_icons/ruined_sun_pedestal.tres","res://src/towers/tower_sprites/ruined_sun_pedestal_2.tscn","7RY8","QZWR"
"Flawed Sun Pillar",3,448,363,"geX","common","astral","TRUE","energy",1200,2,370,414,0,0,320,1900,0,"FALSE","CREEPS",,,"3,0.46","MOD_DMG_TO_UNDEAD,0.22,0.022",,,,"res://src/towers/tower_behaviors/ruined_sun_pedestal.gd","res://resources/icons/tower_icons/ruined_sun_pedestal.tres","res://src/towers/tower_sprites/ruined_sun_pedestal_3.tscn","CTAM","1DMH"
"Sun Pillar",4,440,363,"geX","common","astral","TRUE","energy",1200,2,738,825,0,0,650,1900,0,"FALSE","CREEPS",,,"3,0.44","MOD_DMG_TO_UNDEAD,0.23,0.023",,,,"res://src/towers/tower_behaviors/ruined_sun_pedestal.gd","res://resources/icons/tower_icons/ruined_sun_pedestal.tres","res://src/towers/tower_sprites/ruined_sun_pedestal_4.tscn","R3P3","CFMV"
"Sun Shrine",5,445,363,"geX","common","astral","TRUE","energy",1200,2,1218,1374,0,0,1100,1900,0,"FALSE","CREEPS",,,"3,0.42","MOD_DMG_TO_UNDEAD,0.24,0.024",,,,"res://src/towers/tower_behaviors/ruined_sun_pedestal.gd","res://resources/icons/tower_icons/ruined_sun_pedestal.tres","res://src/towers/tower_sprites/ruined_sun_pedestal_5.tscn","I70Z","H3P6"
"Sun Array",6,446,363,"geX","common","astral","TRUE","energy",1200,2,1844,2085,0,0,1700,1900,0,"FALSE","CREEPS",,,"3,0.4","MOD_DMG_TO_UNDEAD,0.25,0.025",,,,"res://src/towers/tower_behaviors/ruined_sun_pedestal.gd","res://resources/icons/tower_icons/ruined_sun_pedestal.tres","res://src/towers/tower_sprites/ruined_sun_pedestal_6.tscn","ESGD","ODA3"
"Sun Monument",7,447,363,"geX","common","astral","TRUE","energy",1200,2,2654,3013,0,0,2500,1900,0,"FALSE","CREEPS",,,"3,0.38","MOD_DMG_TO_UNDEAD,0.26,0.026",,,,"res://src/towers/tower_behaviors/ruined_sun_pedestal.gd","res://resources/icons/tower_icons/ruined_sun_pedestal.tres","res://src/towers/tower_sprites/ruined_sun_pedestal_7.tscn","11XW","PE3B"
"Small Frost Fire",1,364,364,"IamanEvilMan","common","darkness","TRUE","essence",900,0.9,46,46,25,2,70,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.25,0.002",,,"116","res://src/towers/tower_behaviors/small_frost_fire.gd","res://resources/icons/tower_icons/small_frost_fire.tres","res://src/towers/tower_sprites/small_frost_fire_1.tscn","YDGF","1OMS"
"Frost Fire",2,365,364,"IamanEvilMan","common","darkness","TRUE","essence",900,0.9,163,163,25,2,250,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.25,0.002",,,"117","res://src/towers/tower_behaviors/small_frost_fire.gd","res://resources/icons/tower_icons/small_frost_fire.tres","res://src/towers/tower_sprites/small_frost_fire_2.tscn","AUE6","2GOF"
"Hungry Frost Fire",3,366,364,"IamanEvilMan","common","darkness","TRUE","essence",900,0.9,456,456,25,2,700,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.25,0.002",,,"118","res://src/towers/tower_behaviors/small_frost_fire.gd","res://resources/icons/tower_icons/small_frost_fire.tres","res://src/towers/tower_sprites/small_frost_fire_3.tscn","7JGB","VI8Y"
"Hungry Frozen Flame",4,367,364,"IamanEvilMan","common","darkness","TRUE","essence",900,0.9,911,911,25,2,1400,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.25,0.002",,,"119","res://src/towers/tower_behaviors/small_frost_fire.gd","res://resources/icons/tower_icons/small_frost_fire.tres","res://src/towers/tower_sprites/small_frost_fire_4.tscn","GOT1","LNQ2"
"Frozen Inferno",5,368,364,"IamanEvilMan","common","darkness","TRUE","essence",900,0.9,1627,1627,25,2,2500,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.25,0.002",,,"120","res://src/towers/tower_behaviors/small_frost_fire.gd","res://resources/icons/tower_icons/small_frost_fire.tres","res://src/towers/tower_sprites/small_frost_fire_5.tscn","G0OI","Q0TA"
"Ymir",1,372,372,"IamanEvilMan","unique","ice","TRUE","elemental",900,1.5,2300,2300,0,0,3800,1500,0,"FALSE","CREEPS",,"400,0.25",,"MOD_DAMAGE_BASE_PERC,0,0.1","379,380","46",,"res://src/towers/tower_behaviors/ymir.gd","res://resources/icons/tower_icons/ymir.tres","res://src/towers/tower_sprites/ymir_1.tscn","KS7K","CCH8"
"Goblin Stronghold",1,373,373,"cedi","unique","iron","TRUE","physical",800,2.5,897,906,0,0,2500,1200,0.2,"FALSE","CREEPS",,,,,"381,382,383,384",,,"res://src/towers/tower_behaviors/goblin_stronghold.gd","res://resources/icons/tower_icons/goblin_stronghold.tres","res://src/towers/tower_sprites/goblin_stronghold_1.tscn","63KW","977T"
"Fire Star",1,374,374,"cedi","unique","fire","TRUE","elemental",1000,2,900,900,0,0,3000,1000,0,"FALSE","CREEPS","14",,,,"385,386",,,"res://src/towers/tower_behaviors/fire_star.gd","res://resources/icons/tower_icons/fire_star.tres","res://src/towers/tower_sprites/fire_star_1.tscn","XH2D","KHME"
"Buried Soul",1,376,376,"SirCoqalot.","uncommon","darkness","TRUE","arcane",1200,1,10,71,0,0,80,30000,0,"TRUE","CREEPS",,,,,"387,388",,,"res://src/towers/tower_behaviors/buried_soul.gd","res://resources/icons/tower_icons/buried_soul.tres","res://src/towers/tower_sprites/buried_soul_1.tscn","5CHD","43FJ"
"Lost Soul",2,379,376,"SirCoqalot.","uncommon","darkness","TRUE","arcane",1200,1,117,178,0,0,310,30000,0,"TRUE","CREEPS",,,,,"389,390",,,"res://src/towers/tower_behaviors/buried_soul.gd","res://resources/icons/tower_icons/buried_soul.tres","res://src/towers/tower_sprites/buried_soul_2.tscn","VUEM","FN9T"
"Forgotten Soul",3,384,376,"SirCoqalot.","uncommon","darkness","TRUE","arcane",1200,1,528,589,0,0,1240,30000,0,"TRUE","CREEPS",,,,,"391,392",,,"res://src/towers/tower_behaviors/buried_soul.gd","res://resources/icons/tower_icons/buried_soul.tres","res://src/towers/tower_sprites/buried_soul_3.tscn","5PUW","B1EP"
"Long Forgotten Soul",4,395,376,"SirCoqalot.","uncommon","darkness","TRUE","arcane",1200,1,1014,1075,0,0,2450,30000,0,"TRUE","CREEPS",,,,,"393,394",,,"res://src/towers/tower_behaviors/buried_soul.gd","res://resources/icons/tower_icons/buried_soul.tres","res://src/towers/tower_sprites/buried_soul_4.tscn","F6J3","HK87"
"Magic Mushroom",1,377,377,"drol","unique","nature","TRUE","arcane",900,0.9,1513,1612,60,4,3200,1000,0.2,"FALSE","CREEPS",,,,"MOD_MANA_REGEN,0,0.16","395,396",,"121","res://src/towers/tower_behaviors/magic_mushroom.gd","res://resources/icons/tower_icons/magic_mushroom.tres","res://src/towers/tower_sprites/magic_mushroom_1.tscn","Q02O","4S0E"
"Lightning Generator",1,378,378,"SirCoqalot.","uncommon","storm","TRUE","arcane",980,1.35,1,1,0,0,92,10000,0,"TRUE","CREEPS",,,,,"397,398",,,"res://src/towers/tower_behaviors/lightning_generator.gd","res://resources/icons/tower_icons/lightning_generator.tres","res://src/towers/tower_sprites/lightning_generator_1.tscn","UXVT","46H2"
"Fortified Lightning Generator",2,381,378,"SirCoqalot.","uncommon","storm","TRUE","arcane",980,1.35,1,1,0,0,345,10000,0,"TRUE","CREEPS",,,,,"399,400",,,"res://src/towers/tower_behaviors/lightning_generator.gd","res://resources/icons/tower_icons/lightning_generator.tres","res://src/towers/tower_sprites/lightning_generator_2.tscn","VX2A","SZVM"
"Stormcloud Generator",3,382,378,"SirCoqalot.","uncommon","storm","TRUE","arcane",980,1.35,1,1,0,0,1025,10000,0,"TRUE","CREEPS",,,,,"401,402",,,"res://src/towers/tower_behaviors/lightning_generator.gd","res://resources/icons/tower_icons/lightning_generator.tres","res://src/towers/tower_sprites/lightning_generator_3.tscn","67HN","G6J3"
"Thunderstorm Generator",4,383,378,"SirCoqalot.","uncommon","storm","TRUE","arcane",980,1.35,1,1,0,0,2450,10000,0,"TRUE","CREEPS",,,,,"403,404",,,"res://src/towers/tower_behaviors/lightning_generator.gd","res://resources/icons/tower_icons/lightning_generator.tres","res://src/towers/tower_sprites/lightning_generator_4.tscn","JOH5","G1B1"
"Tiny Storm Lantern",1,380,380,"Boekie","uncommon","storm","TRUE","energy",1000,1.3,207,207,0,0,250,1500,0,"FALSE","CREEPS",,,,,"405",,,"res://src/towers/tower_behaviors/tiny_storm_lantern.gd","res://resources/icons/tower_icons/tiny_storm_lantern.tres","res://src/towers/tower_sprites/tiny_storm_lantern_1.tscn","Y9H7","BV37"
"Storm Lantern",2,551,380,"Boekie","uncommon","storm","TRUE","energy",1000,1.3,529,529,0,0,750,1500,0,"FALSE","CREEPS",,,,,"406",,,"res://src/towers/tower_behaviors/tiny_storm_lantern.gd","res://resources/icons/tower_icons/tiny_storm_lantern.tres","res://src/towers/tower_sprites/tiny_storm_lantern_2.tscn","56XT","RX76"
"Sparkling Storm Lantern",3,552,380,"Boekie","uncommon","storm","TRUE","energy",1000,1.3,990,990,0,0,1600,1500,0,"FALSE","CREEPS",,,,,"407",,,"res://src/towers/tower_behaviors/tiny_storm_lantern.gd","res://resources/icons/tower_icons/tiny_storm_lantern.tres","res://src/towers/tower_sprites/tiny_storm_lantern_3.tscn","A1E9","1ZAX"
"Electrified Storm Lantern",4,553,380,"Boekie","uncommon","storm","TRUE","energy",1000,1.3,1525,1525,0,0,2800,1500,0,"FALSE","CREEPS",,,,,"408",,,"res://src/towers/tower_behaviors/tiny_storm_lantern.gd","res://resources/icons/tower_icons/tiny_storm_lantern.tres","res://src/towers/tower_sprites/tiny_storm_lantern_4.tscn","ASUO","MP4L"
"Glowing Solar Orb",1,385,385,"MasterCassim","common","astral","TRUE","energy",850,1.3,40,40,0,0,40,1050,0.3,"FALSE","CREEPS",,"125,0.45,225,0.15",,"MOD_DMG_TO_UNDEAD,0.15,0","409",,,"res://src/towers/tower_behaviors/glowing_solar_orb.gd","res://resources/icons/tower_icons/glowing_solar_orb.tres","res://src/towers/tower_sprites/glowing_solar_orb_1.tscn","JARK","QN6E"
"Glaring Solar Orb",2,389,385,"MasterCassim","common","astral","TRUE","energy",850,1.3,242,242,0,0,250,1050,0.3,"FALSE","CREEPS",,"125,0.45,225,0.2",,"MOD_DMG_TO_UNDEAD,0.15,0","410",,,"res://src/towers/tower_behaviors/glowing_solar_orb.gd","res://resources/icons/tower_icons/glowing_solar_orb.tres","res://src/towers/tower_sprites/glowing_solar_orb_2.tscn","86WO","AHYG"
"Glowing Sun Orb",3,390,385,"MasterCassim","common","astral","TRUE","energy",850,1.3,562,562,0,0,600,1050,0.3,"FALSE","CREEPS",,"125,0.5,225,0.25",,"MOD_DMG_TO_UNDEAD,0.15,0","411",,,"res://src/towers/tower_behaviors/glowing_solar_orb.gd","res://resources/icons/tower_icons/glowing_solar_orb.tres","res://src/towers/tower_sprites/glowing_solar_orb_3.tscn","RVMN","ESF6"
"Shiny Sun Orb",4,387,385,"MasterCassim","common","astral","TRUE","energy",850,1.3,1420,1420,0,0,1550,1050,0.3,"FALSE","CREEPS",,"125,0.5,225,0.3",,"MOD_DMG_TO_UNDEAD,0.15,0","412",,,"res://src/towers/tower_behaviors/glowing_solar_orb.gd","res://resources/icons/tower_icons/glowing_solar_orb.tres","res://src/towers/tower_sprites/glowing_solar_orb_4.tscn","XBGJ","F6FP"
"Blazing Sun Orb",5,388,385,"MasterCassim","common","astral","TRUE","energy",850,1.3,2300,2300,0,0,2600,1050,0.3,"FALSE","CREEPS",,"125,0.55,225,0.35",,"MOD_DMG_TO_UNDEAD,0.15,0","413",,,"res://src/towers/tower_behaviors/glowing_solar_orb.gd","res://resources/icons/tower_icons/glowing_solar_orb.tres","res://src/towers/tower_sprites/glowing_solar_orb_5.tscn","4ZY8","R9P3"
"Forest Protectress",1,386,386,"cedi","unique","nature","TRUE","physical",900,2.2,2896,2896,0,0,2900,1250,0,"FALSE","CREEPS",,,,"MOD_DAMAGE_BASE_PERC,0,0.06","414,415","47",,"res://src/towers/tower_behaviors/forest_protectress.gd","res://resources/icons/tower_icons/forest_protectress.tres","res://src/towers/tower_sprites/forest_protectress_1.tscn","5DP8","HYUV"
"The Steam Engine",1,391,391,"Glowackos/cedi","unique","iron","FALSE","physical",800,1,1,1,1000,10,4000,1200,0,"FALSE","CREEPS",,,,"MOD_MANA,0,10|MOD_MANA_REGEN_PERC,0,0.05","416","48","122,123","res://src/towers/tower_behaviors/the_steam_engine.gd","res://resources/icons/tower_icons/the_steam_engine.tres","res://src/towers/tower_sprites/the_steam_engine_1.tscn","OF8N","ELT2"
"Shaman",1,392,392,"His_Shadow","rare","fire","TRUE","essence",900,1.5,462,462,20,1,700,1150,0.15,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.1375,0",,"49","124","res://src/towers/tower_behaviors/shaman.gd","res://resources/icons/tower_icons/shaman.tres","res://src/towers/tower_sprites/shaman_1.tscn","Z9ID","IM1T"
"Shaman Cheftain",2,393,392,"His_Shadow","rare","fire","TRUE","essence",900,1.5,809,809,20,1,1400,1150,0.15,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.1375,0",,"50","125","res://src/towers/tower_behaviors/shaman.gd","res://resources/icons/tower_icons/shaman.tres","res://src/towers/tower_sprites/shaman_2.tscn","ZUGK","W9OH"
"Shaman Master",3,394,392,"His_Shadow","rare","fire","TRUE","essence",900,1.5,1387,1387,20,1,2800,1150,0.15,"FALSE","CREEPS",,,,"MOD_ATK_CRIT_CHANCE,0.1375,0",,"51","126","res://src/towers/tower_behaviors/shaman.gd","res://resources/icons/tower_icons/shaman.tres","res://src/towers/tower_sprites/shaman_3.tscn","FBXE","VG7S"
"Nature Sprites",1,396,396,"DaveMatthews","uncommon","nature","TRUE","essence",900,2.5,338,338,50,2.5,400,1100,0,"FALSE","CREEPS",,,,,,,"127","res://src/towers/tower_behaviors/nature_sprites.gd","res://resources/icons/tower_icons/nature_sprites.tres","res://src/towers/tower_sprites/nature_sprites_1.tscn","DV24","NZKE"
"Nature Spirits",2,397,396,"DaveMatthews","uncommon","nature","TRUE","essence",900,2.5,1267,1267,50,2.5,1500,1100,0,"FALSE","CREEPS",,,,,,,"128","res://src/towers/tower_behaviors/nature_sprites.gd","res://resources/icons/tower_icons/nature_sprites.tres","res://src/towers/tower_sprites/nature_sprites_2.tscn","0SVZ","XF5N"
"Nature Souls",3,398,396,"DaveMatthews","uncommon","nature","TRUE","essence",900,2.5,2364,2364,50,2.5,2800,1100,0,"FALSE","CREEPS",,,,,,,"129","res://src/towers/tower_behaviors/nature_sprites.gd","res://resources/icons/tower_icons/nature_sprites.tres","res://src/towers/tower_sprites/nature_sprites_3.tscn","AZE4","MK53"
"The Conduit",1,399,399,"Ashbringer","unique","storm","TRUE","arcane",1200,2,1,1,1000,0,4000,1000,0,"FALSE","CREEPS","10",,,"MOD_SPELL_CRIT_CHANCE,0.0375,0.005|MOD_SPELL_CRIT_DAMAGE,0.25,0.05","417","52","130","res://src/towers/tower_behaviors/the_conduit.gd","res://resources/icons/tower_icons/the_conduit.tres","res://src/towers/tower_sprites/the_conduit_1.tscn","VR9K","N2HI"
"Particle Accelerator",1,400,400,"the_red_terror","rare","iron","TRUE","energy",900,1,426,426,0,0,600,1500,0,"FALSE","CREEPS",,,,,"418,419",,,"res://src/towers/tower_behaviors/particle_accelerator.gd","res://resources/icons/tower_icons/particle_accelerator.tres","res://src/towers/tower_sprites/particle_accelerator_1.tscn","BFOI","7MXN"
"Atom Smasher",2,402,400,"the_red_terror","rare","iron","TRUE","energy",900,1,780,780,0,0,1200,1500,0,"FALSE","CREEPS",,,,,"420,421",,,"res://src/towers/tower_behaviors/particle_accelerator.gd","res://resources/icons/tower_icons/particle_accelerator.tres","res://src/towers/tower_sprites/particle_accelerator_2.tscn","P9T9","W31T"
"Supercollider",3,403,400,"the_red_terror","rare","iron","TRUE","energy",900,1,1413,1413,0,0,2400,1500,0,"FALSE","CREEPS",,,,,"422,423",,,"res://src/towers/tower_behaviors/particle_accelerator.gd","res://resources/icons/tower_icons/particle_accelerator.tres","res://src/towers/tower_sprites/particle_accelerator_3.tscn","I46D","07I0"
"Helicopter Zone",1,401,401,"Deemzul","unique","iron","TRUE","physical",1000,0.25,775,775,0,0,4500,1000,0.5,"FALSE","CREEPS",,,,,"424,425",,"131","res://src/towers/tower_behaviors/helicopter_zone.gd","res://resources/icons/tower_icons/helicopter_zone.tres","res://src/towers/tower_sprites/helicopter_zone_1.tscn","136D","D8CW"
"Felweed",1,405,405,"SirCoqalot.","common","fire","TRUE","decay",750,1,49,49,0,0,55,1500,0,"FALSE","CREEPS",,,,,"426",,,"res://src/towers/tower_behaviors/felweed.gd","res://resources/icons/tower_icons/felweed.tres","res://src/towers/tower_sprites/felweed_1.tscn","QLQJ","N5HH"
"Grown Felweed",2,406,405,"SirCoqalot.","common","fire","TRUE","decay",750,1,192,192,0,0,215,1500,0,"FALSE","CREEPS",,,,,"427",,,"res://src/towers/tower_behaviors/felweed.gd","res://resources/icons/tower_icons/felweed.tres","res://src/towers/tower_sprites/felweed_2.tscn","2ZVC","ZAQH"
"Rancid Felweed",3,407,405,"SirCoqalot.","common","fire","TRUE","decay",750,1,423,423,0,0,510,1500,0,"FALSE","CREEPS",,,,,"428",,,"res://src/towers/tower_behaviors/felweed.gd","res://resources/icons/tower_icons/felweed.tres","res://src/towers/tower_sprites/felweed_3.tscn","CH0V","B17S"
"Old Felweed",4,408,405,"SirCoqalot.","common","fire","TRUE","decay",750,1,912,912,0,0,1100,1500,0,"FALSE","CREEPS",,,,,"429",,,"res://src/towers/tower_behaviors/felweed.gd","res://resources/icons/tower_icons/felweed.tres","res://src/towers/tower_sprites/felweed_4.tscn","M1MT","4ATK"
"Elder Felweed",5,409,405,"SirCoqalot.","common","fire","TRUE","decay",750,1,1360,1360,0,0,1800,1500,0,"FALSE","CREEPS",,,,,"430",,,"res://src/towers/tower_behaviors/felweed.gd","res://resources/icons/tower_icons/felweed.tres","res://src/towers/tower_sprites/felweed_5.tscn","WX8F","9NZE"
"Ancient Felweed",6,410,405,"SirCoqalot.","common","fire","TRUE","decay",750,1,1889,1889,0,0,2500,1500,0,"FALSE","CREEPS",,,,,"431",,,"res://src/towers/tower_behaviors/felweed.gd","res://resources/icons/tower_icons/felweed.tres","res://src/towers/tower_sprites/felweed_6.tscn","HL5U","6Z94"
"Mister Fireflies",1,411,411,"Deemzul","rare","darkness","TRUE","arcane",600,2,1,1,0,0,1000,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.3,0|MOD_DMG_TO_MAGIC,0.2,0|MOD_SPELL_DAMAGE_DEALT,0,0.08","432,433",,,"res://src/towers/tower_behaviors/mister_fireflies.gd","res://resources/icons/tower_icons/mister_fireflies.tres","res://src/towers/tower_sprites/mister_fireflies_1.tscn","PG2P","YO05"
"Sir Fireflies",2,412,411,"Deemzul","rare","darkness","TRUE","arcane",600,2,1,1,0,0,1750,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.3,0|MOD_DMG_TO_MAGIC,0.2,0|MOD_SPELL_DAMAGE_DEALT,0,0.08","434,435",,,"res://src/towers/tower_behaviors/mister_fireflies.gd","res://resources/icons/tower_icons/mister_fireflies.tres","res://src/towers/tower_sprites/mister_fireflies_2.tscn","2GU1","6JK5"
"Lord of the Fireflies",3,413,411,"Deemzul","rare","darkness","TRUE","arcane",600,2,1,1,0,0,1750,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_UNDEAD,-0.3,0|MOD_DMG_TO_MAGIC,0.2,0|MOD_SPELL_DAMAGE_DEALT,0,0.08","436,437",,,"res://src/towers/tower_behaviors/mister_fireflies.gd","res://resources/icons/tower_icons/mister_fireflies.tres","res://src/towers/tower_sprites/mister_fireflies_3.tscn","O53J","VKCI"
"Dutchman's Grave",1,414,414,"cedi","unique","darkness","TRUE","physical",2000,2.5,7138,7138,0,0,5000,10000,0,"TRUE","CREEPS",,,,,"438,439,440",,"132","res://src/towers/tower_behaviors/dutchmans_grave.gd","res://resources/icons/tower_icons/dutchmans_grave.tres","res://src/towers/tower_sprites/dutchmans_grave_1.tscn","7WW6","OAEM"
"Prince of Lightning",1,415,415,"Boekie","rare","storm","TRUE","energy",1300,1.5,213,217,0,0,1200,2000,0,"FALSE","CREEPS",,,"5,0.3","MOD_SPELL_CRIT_CHANCE,0.0375,0.0025","441","53",,"res://src/towers/tower_behaviors/prince_of_lightning.gd","res://resources/icons/tower_icons/prince_of_lightning.tres","res://src/towers/tower_sprites/prince_of_lightning_1.tscn","3HMF","UUV7"
"King of Lightning",2,416,415,"Boekie","rare","storm","TRUE","energy",1300,1.5,321,325,0,0,2500,2000,0,"FALSE","CREEPS",,,"5,0.3","MOD_SPELL_CRIT_CHANCE,0.0375,0.005","442","54",,"res://src/towers/tower_behaviors/prince_of_lightning.gd","res://resources/icons/tower_icons/prince_of_lightning.tres","res://src/towers/tower_sprites/prince_of_lightning_2.tscn","JF3G","6JMT"
"Militia Watchtower",1,417,417,"ShyGnome","uncommon","iron","TRUE","physical",850,0.7,71,71,0,0,250,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_BOSS,-0.2,0.006|MOD_DMG_TO_UNDEAD,-0.2,0.004|MOD_DMG_TO_NATURE,0.2,0.004","443",,,"res://src/towers/tower_behaviors/militia_watchtower.gd","res://resources/icons/tower_icons/militia_watchtower.tres","res://src/towers/tower_sprites/militia_watchtower_1.tscn","Z4H4","3CZN"
"Militia Outpost",2,418,417,"ShyGnome","uncommon","iron","TRUE","physical",850,0.7,213,213,0,0,750,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_BOSS,-0.2,0.007|MOD_DMG_TO_UNDEAD,-0.2,0.005|MOD_DMG_TO_NATURE,0.2,0.005","444",,,"res://src/towers/tower_behaviors/militia_watchtower.gd","res://resources/icons/tower_icons/militia_watchtower.tres","res://src/towers/tower_sprites/militia_watchtower_2.tscn","PDHU","RLBE"
"Militia Forepost",3,419,417,"ShyGnome","uncommon","iron","TRUE","physical",850,0.7,426,426,0,0,1500,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_BOSS,-0.2,0.008|MOD_DMG_TO_UNDEAD,-0.2,0.006|MOD_DMG_TO_NATURE,0.2,0.006","445",,,"res://src/towers/tower_behaviors/militia_watchtower.gd","res://resources/icons/tower_icons/militia_watchtower.tres","res://src/towers/tower_sprites/militia_watchtower_3.tscn","0K40","SAXV"
"Militia Blockpost",4,420,417,"ShyGnome","uncommon","iron","TRUE","physical",850,0.7,853,853,0,0,3000,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_BOSS,-0.2,0.009|MOD_DMG_TO_UNDEAD,-0.2,0.007|MOD_DMG_TO_NATURE,0.2,0.007","446",,,"res://src/towers/tower_behaviors/militia_watchtower.gd","res://resources/icons/tower_icons/militia_watchtower.tres","res://src/towers/tower_sprites/militia_watchtower_4.tscn","B1GV","JZ4H"
"Firestorm Cell",1,421,421,"Ashbringer","uncommon","fire","TRUE","arcane",900,1.3,106,106,0,0,200,1300,0,"FALSE","CREEPS",,,,,"447",,,"res://src/towers/tower_behaviors/firestorm_cell.gd","res://resources/icons/tower_icons/firestorm_cell.tres","res://src/towers/tower_sprites/firestorm_cell_1.tscn","TI2H","G1LI"
"Firestorm Core",2,424,421,"Ashbringer","uncommon","fire","TRUE","arcane",900,1.3,319,319,0,0,600,1300,0,"FALSE","CREEPS",,,,,"448",,,"res://src/towers/tower_behaviors/firestorm_cell.gd","res://resources/icons/tower_icons/firestorm_cell.tres","res://src/towers/tower_sprites/firestorm_cell_2.tscn","RLSZ","1KCP"
"Firestorm Generator",3,422,421,"Ashbringer","uncommon","fire","TRUE","arcane",900,1.3,850,850,0,0,1600,1300,0,"FALSE","CREEPS",,,,,"449",,,"res://src/towers/tower_behaviors/firestorm_cell.gd","res://resources/icons/tower_icons/firestorm_cell.tres","res://src/towers/tower_sprites/firestorm_cell_3.tscn","4JB9","5TQ4"
"Firestorm Reactor",4,423,421,"Ashbringer","uncommon","fire","TRUE","arcane",900,1.3,1487,1487,0,0,2800,1300,0,"FALSE","CREEPS",,,,,"450",,,"res://src/towers/tower_behaviors/firestorm_cell.gd","res://resources/icons/tower_icons/firestorm_cell.tres","res://src/towers/tower_sprites/firestorm_cell_4.tscn","2TO4","OYG8"
"Drake Whisperer",1,426,426,"Ely","unique","astral","TRUE","elemental",1000,1.9,3109,3138,0,0,3500,1300,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_AIR,0.15,0.004","451,452,453",,,"res://src/towers/tower_behaviors/drake_whisperer.gd","res://resources/icons/tower_icons/drake_whisperer.tres","res://src/towers/tower_sprites/drake_whisperer_1.tscn","JRL4","UK28"
"Teacher",1,427,427,"Deikorim/limfa","uncommon","astral","TRUE","elemental",900,1.5,86,90,0,0,70,1500,0,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,0.2,0","454",,,"res://src/towers/tower_behaviors/teacher.gd","res://resources/icons/tower_icons/teacher.tres","res://src/towers/tower_sprites/teacher_1.tscn","W55X","9OXZ"
"Clever Teacher",2,428,427,"Deikorim/limfa","uncommon","astral","TRUE","elemental",900,1.5,225,229,0,0,180,1500,0,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,0.35,0","455",,,"res://src/towers/tower_behaviors/teacher.gd","res://resources/icons/tower_icons/teacher.tres","res://src/towers/tower_sprites/teacher_2.tscn","S8X4","5870"
"Learned Teacher",3,429,427,"Deikorim/limfa","uncommon","astral","TRUE","elemental",900,1.5,439,443,0,0,350,1500,0,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,0.45,0","456",,,"res://src/towers/tower_behaviors/teacher.gd","res://resources/icons/tower_icons/teacher.tres","res://src/towers/tower_sprites/teacher_3.tscn","HSVE","KAYS"
"Studied Teacher",4,430,427,"Deikorim/limfa","uncommon","astral","TRUE","elemental",900,1.5,1070,1074,0,0,850,1500,0,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,0.6,0","457",,,"res://src/towers/tower_behaviors/teacher.gd","res://resources/icons/tower_icons/teacher.tres","res://src/towers/tower_sprites/teacher_4.tscn","INXM","1MEG"
"Doctorated Teacher",5,431,427,"Deikorim/limfa","uncommon","astral","TRUE","elemental",900,1.5,2016,2020,0,0,1600,1500,0,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,0.7,0","458",,,"res://src/towers/tower_behaviors/teacher.gd","res://resources/icons/tower_icons/teacher.tres","res://src/towers/tower_sprites/teacher_5.tscn","VLIE","USOJ"
